word	root	plural_1	plural_2	plural_3	source
تهلكة	هلك				qalsadi-nouns
تهلل	هلل				qalsadi-nouns
تهلهل	هلهل				qalsadi-nouns
تهليل	هلل				qalsadi-nouns
تهمة	وهم	تهم			qalsadi-nouns
تهميش	همش				qalsadi-nouns
تهنء	هنا				qalsadi-nouns
تهنءة	هنا	تهنءات			qalsadi-nouns
تهوج	هوج				qalsadi-nouns
تهود	هود				qalsadi-nouns
تهور	هور				qalsadi-nouns
تهوس	هوس				qalsadi-nouns
تهوش	هوش				qalsadi-nouns
تهوم	هوم				qalsadi-nouns
تهويد	هود				qalsadi-nouns
تهوير	هور				qalsadi-nouns
تهويس	هوس				qalsadi-nouns
تهويش	هوش				qalsadi-nouns
تهويل	هول	تهاويل			qalsadi-nouns
تهويم	هوم				qalsadi-nouns
تهوين	هون				qalsadi-nouns
تهيء	هيا				qalsadi-nouns
تهيب	هيب				qalsadi-nouns
تهيج	هيج				qalsadi-nouns
تهيم	هيم				qalsadi-nouns
تهييء	هيا				qalsadi-nouns
تهييج	هيج				qalsadi-nouns
تهييم	هيم				qalsadi-nouns
تواءم	وام				qalsadi-nouns
تواب	توب				qalsadi-nouns
توابع	تبع	مفردتابع			qalsadi-nouns
توابل	تبل				qalsadi-nouns
تواتر	وتر				qalsadi-nouns
تواثب	وثب				qalsadi-nouns
تواجد	وجد				qalsadi-nouns
تواجه	وجه				qalsadi-nouns
تواد	ودد				qalsadi-nouns
توادع	ودع				qalsadi-nouns
توارث	ورث				qalsadi-nouns
توارد	ورد				qalsadi-nouns
تواري	وري				qalsadi-nouns
توازن	وزن				qalsadi-nouns
توازي	وزي				qalsadi-nouns
تواصف	وصف				qalsadi-nouns
تواصل	وصل				qalsadi-nouns
تواصي	وصي				qalsadi-nouns
تواضع	وضع				qalsadi-nouns
تواطء	وطا				qalsadi-nouns
تواعد	وعد				qalsadi-nouns
توافد	وفد				qalsadi-nouns
توافر	وفر				qalsadi-nouns
توافق	وفق				qalsadi-nouns
تواق	توق				qalsadi-nouns
تواقح	وقح				qalsadi-nouns
تواقف	وقف				qalsadi-nouns
تواكل	وكل				qalsadi-nouns
توالد	ولد				qalsadi-nouns
توالي	ولي				qalsadi-nouns
تواني	وني				qalsadi-nouns
تواهب	وهب				qalsadi-nouns
توبة	توب				qalsadi-nouns
توبيخ	وبخ				qalsadi-nouns
توتر	وتر				qalsadi-nouns
توتيد	وتد				qalsadi-nouns
توتير	وتر				qalsadi-nouns
توثب	وثب				qalsadi-nouns
توثق	وثق				qalsadi-nouns
توثير	وثر				qalsadi-nouns
توثيق	وثق				qalsadi-nouns
توجب	وجب				qalsadi-nouns
توجد	وجد				qalsadi-nouns
توجس	وجس				qalsadi-nouns
توجع	وجع				qalsadi-nouns
توجه	وجه				qalsadi-nouns
توجيب	وجب				qalsadi-nouns
توجيه	وجه				qalsadi-nouns
توجيهية	وجه				qalsadi-nouns
توحد	وحد				qalsadi-nouns
توحش	وحش				qalsadi-nouns
توحل	وحل				qalsadi-nouns
توحم	وحم				qalsadi-nouns
توحيد	وحد				qalsadi-nouns
توحيم	وحم				qalsadi-nouns
توخ	وخي				qalsadi-nouns
توخيم	وخم				qalsadi-nouns
تودد	ودد				qalsadi-nouns
تودع	ودع				qalsadi-nouns
توديع	ودع				qalsadi-nouns
توذيم	وذم				qalsadi-nouns
تورد	ورد				qalsadi-nouns
تورط	ورط				qalsadi-nouns
تورع	ورع				qalsadi-nouns
تورك	ورك				qalsadi-nouns
تورم	ورم				qalsadi-nouns
تورية	وري				qalsadi-nouns
توريد	ورد				qalsadi-nouns
توريط	ورط				qalsadi-nouns
توريع	ورع				qalsadi-nouns
توريف	ورف				qalsadi-nouns
توريق	ورق				qalsadi-nouns
توريم	ورم				qalsadi-nouns
توزر	وزر				qalsadi-nouns
توزع	وزع				qalsadi-nouns
توزيع	وزع				qalsadi-nouns
توسخ	وسخ				qalsadi-nouns
توسد	وسد				qalsadi-nouns
توسع	وسع				qalsadi-nouns
توسل	وسل				qalsadi-nouns
توسم	وسم				qalsadi-nouns
توسن	وسن				qalsadi-nouns
توسيخ	وسخ				qalsadi-nouns
توسيد	وسد				qalsadi-nouns
توسيط	وسط				qalsadi-nouns
توسيع	وسع				qalsadi-nouns
توسيق	وسق				qalsadi-nouns
توسيل	وسل				qalsadi-nouns
توشح	وشح				qalsadi-nouns
توشوش	وشوش				qalsadi-nouns
توشي	وشي				qalsadi-nouns
توشية	وشي				qalsadi-nouns
توشيح	وشح				qalsadi-nouns
توصل	وصل				qalsadi-nouns
توصية	وصي				qalsadi-nouns
توصيل	وصل				qalsadi-nouns
توضء	وضا				qalsadi-nouns
توضءة	وضا				qalsadi-nouns
توضح	وضح				qalsadi-nouns
توضيح	وضح				qalsadi-nouns
توضيع	وضع				qalsadi-nouns
توطء	وطا				qalsadi-nouns
توطءة	وطا				qalsadi-nouns
توطد	وطد				qalsadi-nouns
توطن	وطن				qalsadi-nouns
توطيد	وطد				qalsadi-nouns
توطين	وطن				qalsadi-nouns
توظف	وظف				qalsadi-nouns
توظيف	وظف				qalsadi-nouns
توعد	وعد				qalsadi-nouns
توعر	وعر				qalsadi-nouns
توعك	وعك				qalsadi-nouns
توعية	وعي				qalsadi-nouns
توعير	وعر				qalsadi-nouns
توغر	وغر				qalsadi-nouns
توغل	وغل				qalsadi-nouns
توغير	وغر				qalsadi-nouns
توفر	وفر				qalsadi-nouns
توفق	وفق				qalsadi-nouns
توفي	وفي				qalsadi-nouns
توفية	وفي				qalsadi-nouns
توفيد	وفد				qalsadi-nouns
توفير	وفر				qalsadi-nouns
توفيق	وفق				qalsadi-nouns
توقح	وقح				qalsadi-nouns
توقد	وقد				qalsadi-nouns
توقر	وقر				qalsadi-nouns
توقع	وقع				qalsadi-nouns
توقف	وقف				qalsadi-nouns
توقي	وقي				qalsadi-nouns
توقية	وقي				qalsadi-nouns
توقيت	وقت				qalsadi-nouns
توقيد	وقد				qalsadi-nouns
توقير	وقر				qalsadi-nouns
توقيع	وقع	تواقيع			qalsadi-nouns
توقيف	وقف				qalsadi-nouns
توكء	وكا				qalsadi-nouns
توكد	وكد				qalsadi-nouns
توكل	وكل				qalsadi-nouns
توكيد	وكد				qalsadi-nouns
توكيل	وكل				qalsadi-nouns
تولج	ولج				qalsadi-nouns
تولد	ولد				qalsadi-nouns
تولع	ولع				qalsadi-nouns
توله	وله				qalsadi-nouns
تولول	ولول				qalsadi-nouns
تولي	ولي				qalsadi-nouns
تولية	ولي				qalsadi-nouns
توليد	ولد				qalsadi-nouns
توليع	ولع				qalsadi-nouns
توليه	وله				qalsadi-nouns
تومءة	وما				qalsadi-nouns
توه	توه	اتواهجاتاويه			qalsadi-nouns
توهج	وهج				qalsadi-nouns
توهد	وهد				qalsadi-nouns
توهم	وهم				qalsadi-nouns
توهن	وهن				qalsadi-nouns
توهيد	وهد				qalsadi-nouns
توهيم	وهم				qalsadi-nouns
توهين	وهن				qalsadi-nouns
توي	توي				qalsadi-nouns
تويج	توج				qalsadi-nouns
تيار	تير				qalsadi-nouns
تياسر	يسر				qalsadi-nouns
تيامن	يمن				qalsadi-nouns
تيبيس	يبس				qalsadi-nouns
تيتم	يتم				qalsadi-nouns
تيتيم	يتم				qalsadi-nouns
تيسر	يسر				qalsadi-nouns
تيسير	يسر				qalsadi-nouns
تيفع	يفع				qalsadi-nouns
تيقظ	يقظ				qalsadi-nouns
تيقن	يقن				qalsadi-nouns
تيماء	تيم				qalsadi-nouns
تيمم	يمم				qalsadi-nouns
تيمن	يمن				qalsadi-nouns
تيمين	يمن				qalsadi-nouns
تيه	تيه	اتياه	اتاويه		qalsadi-nouns
تيهاء	تيه				qalsadi-nouns
تيهان	تيه				qalsadi-nouns
ثءلول	ثال	ثءليل			qalsadi-nouns
ثاءر	ثار،ثور	ثوار	ثواءر		qalsadi-nouns
ثابت	ثبت	ثوابت			qalsadi-nouns
ثار	ثار	اثءر	ثارات		qalsadi-nouns
ثاقب	ثقب				qalsadi-nouns
ثاكل	ثكل	ثواكل			qalsadi-nouns
ثالث	ثلث				qalsadi-nouns
ثالوث	ثلث				qalsadi-nouns
ثامر	ثمر				qalsadi-nouns
ثامن	ثمن				qalsadi-nouns
ثانوي	ثني				qalsadi-nouns
ثاني	ثني				qalsadi-nouns
ثانية	ثني	ثوان			qalsadi-nouns
ثبات	ثبت				qalsadi-nouns
ثبت	ثبت	اثبات			qalsadi-nouns
ثبوت	ثبت				qalsadi-nouns
ثبور	ثبر				qalsadi-nouns
ثجاج	ثجج				qalsadi-nouns
ثخونة	ثخن				qalsadi-nouns
ثخين	ثخن	ثخناء			qalsadi-nouns
ثدام	ثدم				qalsadi-nouns
ثدياء	ثدي				qalsadi-nouns
ثرا	ثري	اثراء			qalsadi-nouns
ثراء	ثرو				qalsadi-nouns
ثرثار	ثرثر				qalsadi-nouns
ثرثرة	ثرثر				qalsadi-nouns
ثري	ثري	اثرياء			qalsadi-nouns
ثريا	ثرو				qalsadi-nouns
ثريد	ثرد	ثراءد			qalsadi-nouns
ثغاء	ثغو				qalsadi-nouns
ثغرة	ثغر	ثغر			qalsadi-nouns
ثقاب	ثقب	ثقب			qalsadi-nouns
ثقاف	ثقف	اثقفة	ثقف		qalsadi-nouns
ثقافة	ثقف				qalsadi-nouns
ثقافي	ثقف				qalsadi-nouns
ثقب	ثقب	اثقاب	ثقوب		qalsadi-nouns
ثقبة	ثقب	ثقب			qalsadi-nouns
ثقة	وثق				qalsadi-nouns
ثقل	ثقل	مثناثقلانثقلان			qalsadi-nouns
ثقل	ثقل	اثقال			qalsadi-nouns
ثقيل	ثقل	ثقلاء	ثقيلات		qalsadi-nouns
ثكلا	ثكل	ثكالا			qalsadi-nouns
ثكلان	ثكل	رجلثكلان			qalsadi-nouns
ثكنة	ثكن	ثكن			qalsadi-nouns
ثلاث	ثلث				qalsadi-nouns
ثلاث	ثلث	عددمفردمعدودهجم			qalsadi-nouns
ثلاثاء	ثلث	ثلاثاءات	اثاليث		qalsadi-nouns
ثلاثة	ثلث	مفردمعدودهجمعمذك			qalsadi-nouns
ثلاثي	ثلث				qalsadi-nouns
ثلاجة	ثلج				qalsadi-nouns
ثلب	ثلب				qalsadi-nouns
ثلة	ثلل	ثلل			qalsadi-nouns
ثلث	ثلث	اثلاث			qalsadi-nouns
ثلج	ثلج	ثلوج			qalsadi-nouns
ثلجة	ثلج	واحدةالثلج			qalsadi-nouns
ثلم	ثلم	اثلام			qalsadi-nouns
ثلمة	ثلم				qalsadi-nouns
ثليجة	ثلج				qalsadi-nouns
ثمالة	ثمل	ثمال			qalsadi-nouns
ثمانية	ثمن				qalsadi-nouns
ثمر	ثمر	ثمارجاثمار			qalsadi-nouns
ثمراء	ثمر				qalsadi-nouns
ثمرة	ثمر				qalsadi-nouns
ثمل	ثمل				qalsadi-nouns
ثمن	ثمن	اثمان			qalsadi-nouns
ثمن	ثمن	اثمان	اثمنة		qalsadi-nouns
ثمين	ثمن				qalsadi-nouns
ثناء	ثني	اثنية			qalsadi-nouns
ثناءي	ثني				qalsadi-nouns
ثني	ثني	اثناء			qalsadi-nouns
ثنية	ثني	ثنايا			qalsadi-nouns
ثواب	ثوب				qalsadi-nouns
ثوب	ثوب	ثياب	اثواب		qalsadi-nouns
ثوران	ثور				qalsadi-nouns
ثورة	ثور				qalsadi-nouns
ثوري	ثور				qalsadi-nouns
ثوم	نب				qalsadi-nouns
ثيب	ثيب				qalsadi-nouns
جءجء	جاجا				qalsadi-nouns
جاءب	جيب	جواءب			qalsadi-nouns
جاءح	جوح				qalsadi-nouns
جاءحة	جوح	جواءح			qalsadi-nouns
جاءر	جور				qalsadi-nouns
جاءز	جوز				qalsadi-nouns
جاءزة	جوز	جواءز			qalsadi-nouns
جاءع	جوع	جياع	جوع		qalsadi-nouns
جابر	جبر				qalsadi-nouns
جابي	جبا	جباة			qalsadi-nouns
جاثم	جثم	جثم			qalsadi-nouns
جاثوم	جثم	جواثيم			qalsadi-nouns
جاثي	جثو	جثاة			qalsadi-nouns
جاحد	جحد				qalsadi-nouns
جاحظ	جحظ				qalsadi-nouns
جاد	جدد				qalsadi-nouns
جادة	جدد	جواد			qalsadi-nouns
جاذب	جذب				qalsadi-nouns
جاذبية	جذب				qalsadi-nouns
جار	جور	جيران			qalsadi-nouns
جارح	جرح				qalsadi-nouns
جارحة	جرح	جوارح			qalsadi-nouns
جارف	جرف				qalsadi-nouns
جارور	جرر				qalsadi-nouns
جاروف	جرف	جواريف			qalsadi-nouns
جاري	جري				qalsadi-nouns
جارية	جري	جوار			qalsadi-nouns
جازم	جزم	جوازم			qalsadi-nouns
جاسر	جسر				qalsadi-nouns
جاسوس	جسس	جواسيس			qalsadi-nouns
جاسوسية	جسس				qalsadi-nouns
جاش	جاش				qalsadi-nouns
جاف	جفف				qalsadi-nouns
جافل	جفل				qalsadi-nouns
جافي	جفو	جفاة	جواف		qalsadi-nouns
جالس	جلس	جلوس	جلاس		qalsadi-nouns
جالية	جلو	جوال			qalsadi-nouns
جامح	جمح	جوامح			qalsadi-nouns
جامد	جمد	جوامد			qalsadi-nouns
جامع	جمع	جوامع			qalsadi-nouns
جامعة	جمع	مءنثالجامع			qalsadi-nouns
جامعي	جمع				qalsadi-nouns
جان	جنن	جنان			qalsadi-nouns
جانب	جنب	جوانب			qalsadi-nouns
جانح	جنح	جوانح			qalsadi-nouns
جاني	جنا	جناة			qalsadi-nouns
جاه	جوه				qalsadi-nouns
جاهد	جهد				qalsadi-nouns
جاهز	جهز				qalsadi-nouns
جاهل	جهل	جهال	جهلاء	جهلة	qalsadi-nouns
جاهلي	جهل				qalsadi-nouns
جاهلية	جهل				qalsadi-nouns
جب	جبب	اجباب	جباب		qalsadi-nouns
جباة	جبا				qalsadi-nouns
جبار	جبر	جبابرة			qalsadi-nouns
جباس	جبس				qalsadi-nouns
جبان	جبن				qalsadi-nouns
جبان	جبن	جبناء			qalsadi-nouns
جباية	جبي				qalsadi-nouns
جبة	جبب	جبب	جباب		qalsadi-nouns
جبح	جبح	اجباح			qalsadi-nouns
جبر	جبر				qalsadi-nouns
جبري	جبر				qalsadi-nouns
جبس	جبس	اجباس			qalsadi-nouns
جبلة	جبل				qalsadi-nouns
جبن	جبن				qalsadi-nouns
جبهة	جبه	جباه			qalsadi-nouns
جبين	جبن	اجبنة			qalsadi-nouns
جث	جثث				qalsadi-nouns
جد	جدد				qalsadi-nouns
جدة	جدد				qalsadi-nouns
جدر	جدر	جدران			qalsadi-nouns
جدر	جدر	اجدار			qalsadi-nouns
جدري	جدر				qalsadi-nouns
جدل	جدل				qalsadi-nouns
جدلي	جدل				qalsadi-nouns
جدوا	جدو				qalsadi-nouns
جدول	جدل	جداول			qalsadi-nouns
جدي	جدد				qalsadi-nouns
جديد	جدد	مثناجديدانالجديدان			qalsadi-nouns
جديد	جدد	ات	اجدة	جدد	qalsadi-nouns
جدير	جدر	جدراء			qalsadi-nouns
جديل	جدل	جدل			qalsadi-nouns
جديلة	جدل	جداءل			qalsadi-nouns
جذ	جذذ	اجذاذ			qalsadi-nouns
جذاب	جذب				qalsadi-nouns
جذاذ	جذذ				qalsadi-nouns
جذام	جذم				qalsadi-nouns
جذب	جذب				qalsadi-nouns
جذبة	جذب				qalsadi-nouns
جذر	جذر	جذور			qalsadi-nouns
جذري	جذر				qalsadi-nouns
جذع	جذع	جذعان	جذاع		qalsadi-nouns
جذل	جذل	اجذال	جذال	جذول	qalsadi-nouns
جذل	جذل				qalsadi-nouns
جذلان	جذل	جذلانمءجذلا			qalsadi-nouns
جذوة	جذو	جذا	جذاء		qalsadi-nouns
جذيم	جذم				qalsadi-nouns
جر	جرر				qalsadi-nouns
جراب	جرب				qalsadi-nouns
جراب	جرب	اجربة	جرب		qalsadi-nouns
جراة	جرا				qalsadi-nouns
جراح	جرح				qalsadi-nouns
جراحة	جرح	جراح			qalsadi-nouns
جرادة	جرد	جراد			qalsadi-nouns
جرار	جرر				qalsadi-nouns
جرارة	جرر	مءنثالجرار			qalsadi-nouns
جراف	جرف				qalsadi-nouns
جرافة	جرف				qalsadi-nouns
جرب	جرب				qalsadi-nouns
جرباء	جرب	مءنثاجرب			qalsadi-nouns
جربان	جرب	جربا			qalsadi-nouns
جرة	جرر	جر			qalsadi-nouns
جرة	جرر	جرر			qalsadi-nouns
جرجة	جرج	جرج			qalsadi-nouns
جرح	جرح	جراح	اجراح	جراحات	qalsadi-nouns
جرد	جرد				qalsadi-nouns
جرداء	جرد	مءنثاجرد			qalsadi-nouns
جرذ	جرذ	جرذان			qalsadi-nouns
جرذ	جرذ				qalsadi-nouns
جرذيات	جرذ				qalsadi-nouns
جرز	جرز	اجراز			qalsadi-nouns
جرس	جرس	اجراس			qalsadi-nouns
جرس	جرس	جروس			qalsadi-nouns
جرش	جرش				qalsadi-nouns
جرعة	جرع				qalsadi-nouns
جرفة	جرف				qalsadi-nouns
جرم	جرم	اجرام			qalsadi-nouns
جرو	جرو	جراء			qalsadi-nouns
جري	جري				qalsadi-nouns
جري	جري	اجرياء			qalsadi-nouns
جريء	جرا				qalsadi-nouns
جريح	جرح	جرحا			qalsadi-nouns
جريد	جرد	جراءد			qalsadi-nouns
جرير	جرر	اجرة	جران		qalsadi-nouns
جريرة	جرر				qalsadi-nouns
جريمة	جرم	جراءم			qalsadi-nouns
جزء	جزا	اجزاء			qalsadi-nouns
جزءي	جزا				qalsadi-nouns
جزءية	جزء				qalsadi-nouns
جزاء	جزا				qalsadi-nouns
جزار	جزر				qalsadi-nouns
جزارة	جزر				qalsadi-nouns
جزاز	جزز				qalsadi-nouns
جزاف	جزف				qalsadi-nouns
جزالة	جزل				qalsadi-nouns
جزر	جزر				qalsadi-nouns
جزز	جزز				qalsadi-nouns
جزع	جزع				qalsadi-nouns
جزعة	جزع				qalsadi-nouns
جزف	جزف				qalsadi-nouns
جزل	جزل				qalsadi-nouns
جزلة	جزل				qalsadi-nouns
جزمة	جزم				qalsadi-nouns
جزور	جزر	جزاءر	جزر		qalsadi-nouns
جزوع	جزع				qalsadi-nouns
جزية	جزي	جزاء			qalsadi-nouns
جزيرة	جزر	جزاءر	جزر		qalsadi-nouns
جزيل	جزل	اجزال	جزال		qalsadi-nouns
جس	جسس				qalsadi-nouns
جساد	جسد				qalsadi-nouns
جسارة	جسر				qalsadi-nouns
جساس	جسس				qalsadi-nouns
جسد	جسد	اجساد			qalsadi-nouns
جسدي	جسد				qalsadi-nouns
جسر	جسر	جسور			qalsadi-nouns
جسم	جسم	اجسام	جسوم		qalsadi-nouns
جسماني	جسم				qalsadi-nouns
جسمي	جسم				qalsadi-nouns
جسور	جسر	جسر			qalsadi-nouns
جسيم	جسم				qalsadi-nouns
جش	جشش	جشاش			qalsadi-nouns
جش	جشش				qalsadi-nouns
جشاء	جشا				qalsadi-nouns
جشاة	جشا	واحدةالجشاء			qalsadi-nouns
جشع	جشع				qalsadi-nouns
جشع	جشع	جشعان			qalsadi-nouns
جشم	جشم				qalsadi-nouns
جص	جصص				qalsadi-nouns
جصاص	جصص				qalsadi-nouns
جعاب	جعب				qalsadi-nouns
جعابة	جعب				qalsadi-nouns
جعبة	جعب	جعاب			qalsadi-nouns
جعجعة	جعجع				qalsadi-nouns
جعد	جعد	جعاد			qalsadi-nouns
جفاء	جفو				qalsadi-nouns
جفاف	جفف				qalsadi-nouns
جفافة	جفف				qalsadi-nouns
جفال	جفل				qalsadi-nouns
جفر	جفر				qalsadi-nouns
جفرة	جفر	جفر	جفار		qalsadi-nouns
جفل	جفل	جفول			qalsadi-nouns
جفن	جفن	اجفان	جفون		qalsadi-nouns
جفنة	جفن	جفان	جفن		qalsadi-nouns
جفو	جفو				qalsadi-nouns
جفوة	جفو				qalsadi-nouns
جل	جلل				qalsadi-nouns
جلا	جلو				qalsadi-nouns
جلاء	جلو				qalsadi-nouns
جلاد	جلد				qalsadi-nouns
جلادة	جلد				qalsadi-nouns
جلال	جلل				qalsadi-nouns
جلالة	جلل				qalsadi-nouns
جلب	جلب				qalsadi-nouns
جلباب	جلب	جلابيب			qalsadi-nouns
جلبة	جلب				qalsadi-nouns
جلجلة	جلجل				qalsadi-nouns
جلد	جلد	اجلاد	جلود		qalsadi-nouns
جلد	جلد				qalsadi-nouns
جلد	جلد	اجلاد	جلد		qalsadi-nouns
جلدة	جلد	جلد			qalsadi-nouns
جلدي	جلد				qalsadi-nouns
جلسة	جلس				qalsadi-nouns
جلطة	جلط				qalsadi-nouns
جلف	جلف	اجلاف			qalsadi-nouns
جلفة	جلف	جلف			qalsadi-nouns
جلل	جلل				qalsadi-nouns
جلمد	جلمد				qalsadi-nouns
جلوة	جلو				qalsadi-nouns
جلود	جلد				qalsadi-nouns
جلوس	جلس				qalsadi-nouns
جلي	جلو				qalsadi-nouns
جليد	جلد	ججلداءوجلاد			qalsadi-nouns
جليس	جلس	جلساء			qalsadi-nouns
جليل	جلل	اجلاء	اجلة		qalsadi-nouns
جم	جمم	جمام	جموم		qalsadi-nouns
جماد	جمد				qalsadi-nouns
جمادا	جمد	جماديات			qalsadi-nouns
جماز	جمز				qalsadi-nouns
جماع	جمع				qalsadi-nouns
جماعة	جمع				qalsadi-nouns
جماعي	جمع				qalsadi-nouns
جمال	جمل				qalsadi-nouns
جمام	جمم				qalsadi-nouns
جمة	جمم	جمم			qalsadi-nouns
جمجمة	جمجم	جماجم			qalsadi-nouns
جمد	جمد	اجماد	جماد		qalsadi-nouns
جمد	جمد				qalsadi-nouns
جمر	جمر	مفردجمرة			qalsadi-nouns
جمرة	جمر	جمار	جمر		qalsadi-nouns
جمع	جمع	اجماع			qalsadi-nouns
جمع	جمع	جموع			qalsadi-nouns
جمعية	جمع				qalsadi-nouns
جمل	جمل				qalsadi-nouns
جملة	جمل	جمل			qalsadi-nouns
جمهرة	جمهر				qalsadi-nouns
جمهور	جمهر	جماهير			qalsadi-nouns
جمهوري	جمهر				qalsadi-nouns
جمهورية	جمهر				qalsadi-nouns
جمهورية	جمهر	يات			qalsadi-nouns
جموح	جمح				qalsadi-nouns
جمود	جمد				qalsadi-nouns
جميل	جمل				qalsadi-nouns
جميم	جمم	اجماء			qalsadi-nouns
جنا	جني	اجناء	اجن		qalsadi-nouns
جناءي	جني	ج			qalsadi-nouns
جناب	جنب				qalsadi-nouns
جنابة	جنب				qalsadi-nouns
جناح	جنح	اجنحةمثناجناحان			qalsadi-nouns
جناح	جنح				qalsadi-nouns
جناس	جنس				qalsadi-nouns
جنان	جنن	اجنان			qalsadi-nouns
جناية	جني				qalsadi-nouns
جنبة	جنب				qalsadi-nouns
جنح	جنح				qalsadi-nouns
جندلة	جندل				qalsadi-nouns
جندي	جند				qalsadi-nouns
جندية	جند				qalsadi-nouns
جنس	جنس	اجناس			qalsadi-nouns
جنسي	جنس				qalsadi-nouns
جنوب	جنب	جناءب			qalsadi-nouns
جنون	جنن				qalsadi-nouns
جني	جني	جن			qalsadi-nouns
جنين	جنن	اجنة			qalsadi-nouns
جنينة	جنن				qalsadi-nouns
جهاد	جهد				qalsadi-nouns
جهار	جهر				qalsadi-nouns
جهاز	جهز	اجهزة			qalsadi-nouns
جهة	وجه				qalsadi-nouns
جهد	جهد	جهود			qalsadi-nouns
جهر	جهر				qalsadi-nouns
جهل	جهل				qalsadi-nouns
جهم	جهم				qalsadi-nouns
جهور	جهر				qalsadi-nouns
جهوري	جهر				qalsadi-nouns
جهول	جهل	جهلاء			qalsadi-nouns
جهير	جهر	ججهراءججهاءر			qalsadi-nouns
جو	جوو	اجواء	جواء		qalsadi-nouns
جوا	جوي				qalsadi-nouns
جواءب	جوب	مفردجاءبة			qalsadi-nouns
جواب	جوب	اجوبة			qalsadi-nouns
جواب	جوب				qalsadi-nouns
جواثم	جثم				qalsadi-nouns
جواد	جود	اجواد	اجاويد		qalsadi-nouns
جواد	جود				qalsadi-nouns
جوار	جور				qalsadi-nouns
جوارح	جرح				qalsadi-nouns
جواز	جوز	اجوزة			qalsadi-nouns
جوال	جول				qalsadi-nouns
جوانب	جنب	مفردجانب			qalsadi-nouns
جوانح	جنح	مفردجانحة			qalsadi-nouns
جوة	جوي				qalsadi-nouns
جود	جود				qalsadi-nouns
جودة	جود				qalsadi-nouns
جور	جور				qalsadi-nouns
جوع	جوع				qalsadi-nouns
جوعان	جوع	جياعمءجوعا			qalsadi-nouns
جوف	جوف	اجواف			qalsadi-nouns
جوفاء	جوف				qalsadi-nouns
جوفي	جوف				qalsadi-nouns
جوق	جوق	اجواق			qalsadi-nouns
جوقة	جوق				qalsadi-nouns
جول	جول	اجوال			qalsadi-nouns
جول	جول	جول	اجوال		qalsadi-nouns
جولان	جول				qalsadi-nouns
جولة	جول				qalsadi-nouns
جوي	جوو				qalsadi-nouns
جوي	جوي				qalsadi-nouns
جياش	جيش				qalsadi-nouns
جيب	جيب	جيوب			qalsadi-nouns
جيد	جيد	فهوجيدججيادوجياءد			qalsadi-nouns
جير	جير				qalsadi-nouns
جيش	جيش	جيوش			qalsadi-nouns
جيشان	جيش				qalsadi-nouns
جيفة	جيف	جيف	اجياف		qalsadi-nouns
جيل	جيل	اجيال			qalsadi-nouns
حاءر	حور	حيران	حوران	حواءر	qalsadi-nouns
حاءز	حوز				qalsadi-nouns
حاءض	حيض				qalsadi-nouns
حاءط	حوط	حيطان			qalsadi-nouns
حاءك	حوك	حاكة	حوكة	حواءك	qalsadi-nouns
حاءل	حول	حول	حواءل		qalsadi-nouns
حابل	حبل				qalsadi-nouns
حابلة	حبل	حبلة			qalsadi-nouns
حاج	حجج	حجاج	حجيج		qalsadi-nouns
حاجب	حجب	حواجب			qalsadi-nouns
حاجة	حوج	حواءج			qalsadi-nouns
حاجز	حجز	حواجز			qalsadi-nouns
حاجيات	حوج				qalsadi-nouns
حاد	حدد				qalsadi-nouns
حادث	حدث	حوادث			qalsadi-nouns
حادي	حدو	حداة			qalsadi-nouns
حاذق	حذق	حذاق			qalsadi-nouns
حار	حرر				qalsadi-nouns
حارة	حور				qalsadi-nouns
حارث	حرث	حراث			qalsadi-nouns
حارس	حرس	حرس	حراس		qalsadi-nouns
حارقة	حرق				qalsadi-nouns
حارك	حرك				qalsadi-nouns
حازم	حزم				qalsadi-nouns
حاسب	حسب	حسبة	حواسب		qalsadi-nouns
حاسة	حسس	حواس			qalsadi-nouns
حاسد	حسد	حساد	حسدة	حسد	qalsadi-nouns
حاسم	حسم				qalsadi-nouns
حاسوب	حسب	حواسيب			qalsadi-nouns
حاشد	حشد				qalsadi-nouns
حاشر	حشر	حشار			qalsadi-nouns
حاشية	حشي	حواش	الحواشي		qalsadi-nouns
حاصب	حصب	حواصب			qalsadi-nouns
حاصد	حصد	حصدة	حصاد		qalsadi-nouns
حاصرة	حصر	حواصر			qalsadi-nouns
حاصل	حصل	حواصل			qalsadi-nouns
حاضر	حضر	حضور	حضر	حواضر	qalsadi-nouns
حاضن	حضن	حواضن			qalsadi-nouns
حاطب	حطب				qalsadi-nouns
حاطمة	حطم				qalsadi-nouns
حاطوم	حطم				qalsadi-nouns
حاف	حفف				qalsadi-nouns
حافة	حوف	حيف			qalsadi-nouns
حافر	حفر	حوافر			qalsadi-nouns
حافز	حفز	حوافز			qalsadi-nouns
حافظ	حفظ	حفظ	حفظة		qalsadi-nouns
حافظة	حفظ				qalsadi-nouns
حافل	حفل	حفل	حوافل		qalsadi-nouns
حافي	حفي	حفاة	حواف		qalsadi-nouns
حاق	حوق				qalsadi-nouns
حاقد	حقد	حقدة			qalsadi-nouns
حاكم	حكم	حكام			qalsadi-nouns
حاكي	حكي				qalsadi-nouns
حال	حول	احوال			qalsadi-nouns
حالب	حلب	حلبة	حوالب		qalsadi-nouns
حالب	حلب	مثناحالبانالحالبان			qalsadi-nouns
