word_with_harakat	unvocalized	unmarked	root	kind	source
أَقْذَعَ	اقذع	اقذع	ءقذع	صحيح	qutrub
اقذفيه	اقذفيه	قذف	قذف	derived	sarf-derivations
أَقَرَّ	اقر	اقر	ءقر	صحيح	qutrub
اقرءوا	اقرءوا	اقرءوا		derived	sarf-derivations
أَقْرَأَ	اقرا	اقرا	ءقرء	صحيح	qutrub
أَقْرَى	اقرا	اقرا	ءقرا	ناقص	qutrub
اقرأ	اقرا	قرا	قرا	derived	sarf-derivations
إِقْراءٌ	اقراء	اقرا	اقرا	Added	asmai-derivations
إقْرَارٌ	اقرار	اقر	اقر	Added	asmai-derivations
إِقْراضٌ	اقراض	اقرض	اقرض	Added	asmai-derivations
إقْرانٌ	اقران	اقرن	اقرن	Added	asmai-derivations
أَقْرَبَ	اقرب	اقرب	ءقرب	صحيح	qutrub
أقرب	اقرب	اقرب	قرب	derived	sarf-derivations
أقربهم	اقربهم	اقرب	قرب	derived	sarf-derivations
أَقْرَحَ	اقرح	اقرح	ءقرح	صحيح	qutrub
أَقْرَدَ	اقرد	اقرد	ءقرد	صحيح	qutrub
أقررتم	اقررتم	اقر	قرر	derived	sarf-derivations
أقررنا	اقررنا	اقر	قرر	derived	sarf-derivations
أَقْرَسَ	اقرس	اقرس	ءقرس	صحيح	qutrub
أَقْرَشَ	اقرش	اقرش	ءقرش	صحيح	qutrub
أَقْرَضَ	اقرض	اقرض	ءقرض	صحيح	qutrub
أَقْرَعَ	اقرع	اقرع	ءقرع	صحيح	qutrub
أَقْرَفَ	اقرف	اقرف	ءقرف	صحيح	qutrub
أَقْرَمَ	اقرم	اقرم	ءقرم	صحيح	qutrub
أَقْرَنَ	اقرن	اقرن	ءقرن	صحيح	qutrub
اِقْرَوْرَى	اقرورا	اقرورا	اقرورا	ناقص	qutrub
أقريب	اقريب	قريب	قرب	derived	sarf-derivations
أَقْزَى	اقزا	اقزا	ءقزا	ناقص	qutrub
أَقْزَعَ	اقزع	اقزع	ءقزع	صحيح	qutrub
أَقْسَى	اقسا	اقسا	ءقسا	ناقص	qutrub
أَقْسَطَ	اقسط	اقسط	ءقسط	صحيح	qutrub
أقسط	اقسط	اقسط	قسط	derived	sarf-derivations
أَقْسَمَ	اقسم	اقسم	ءقسم	صحيح	qutrub
أقسم	اقسم	اقسم	قسم	derived	sarf-derivations
أقسمتم	اقسمتم	اقسم	قسم	derived	sarf-derivations
أقسموا	اقسموا	اقسم	قسم	derived	sarf-derivations
أَقْسَنَ	اقسن	اقسن	ءقسن	صحيح	qutrub
أَقَشَّ	اقش	اقش	ءقش	صحيح	qutrub
أَقْشَى	اقشا	اقشا	ءقشا	ناقص	qutrub
أَقْشَبَ	اقشب	اقشب	ءقشب	صحيح	qutrub
أَقْشَعَ	اقشع	اقشع	ءقشع	صحيح	qutrub
اِقْشِعْرارٌ	اقشعرار	اقشعر	اقشعر	Added	asmai-derivations
أَقَصَّ	اقص	اقص	ءقص	صحيح	qutrub
أَقْصَى	اقصا	اقصا	ءقصا	ناقص	qutrub
أقصى	اقصا	اقصا	قصو	derived	sarf-derivations
إقْصَاءٌ	اقصاء	اقصا	اقصا	Added	asmai-derivations
أَقْصَبَ	اقصب	اقصب	ءقصب	صحيح	qutrub
أَقْصَدَ	اقصد	اقصد	ءقصد	صحيح	qutrub
أَقْصَرَ	اقصر	اقصر	ءقصر	صحيح	qutrub
أَقْصَفَ	اقصف	اقصف	ءقصف	صحيح	qutrub
أَقْصَلَ	اقصل	اقصل	ءقصل	صحيح	qutrub
أَقَضَّ	اقض	اقض	ءقض	صحيح	qutrub
إقْضَاضٌ	اقضاض	اقض	اقض	Added	asmai-derivations
أَقْضَبَ	اقضب	اقضب	ءقضب	صحيح	qutrub
أَقْضَمَ	اقضم	اقضم	ءقضم	صحيح	qutrub
اقضوا	اقضوا	قضا	قضي	derived	sarf-derivations
أقطار	اقطار	قطر	قطر	derived	sarf-derivations
أقطارها	اقطارها	قطر	قطر	derived	sarf-derivations
إقْطَاعٌ	اقطاع	اقطع	اقطع	Added	asmai-derivations
أَقْطَبَ	اقطب	اقطب	ءقطب	صحيح	qutrub
أَقْطَرَ	اقطر	اقطر	ءقطر	صحيح	qutrub
أَقْطَعَ	اقطع	اقطع	ءقطع	صحيح	qutrub
أَقْطَفَ	اقطف	اقطف	ءقطف	صحيح	qutrub
أَقَعَّ	اقع	اقع	ءقع	صحيح	qutrub
أَقْعَى	اقعا	اقعا	ءقعا	ناقص	qutrub
إقْعَادٌ	اقعاد	اقعد	اقعد	Added	asmai-derivations
أَقْعَثَ	اقعث	اقعث	ءقعث	صحيح	qutrub
أَقْعَدَ	اقعد	اقعد	ءقعد	صحيح	qutrub
اقعدوا	اقعدوا	قعد	قعد	derived	sarf-derivations
أَقْعَطَ	اقعط	اقعط	ءقعط	صحيح	qutrub
أَقَفَّ	اقف	اقف	ءقف	صحيح	qutrub
أَقْفَى	اقفا	اقفا	ءقفا	ناقص	qutrub
إِقْفَارٌ	اقفار	اقفر	اقفر	Added	asmai-derivations
إقْفَالٌ	اقفال	اقفل	اقفل	Added	asmai-derivations
أقفالها	اقفالها	قفل	قفل	derived	sarf-derivations
أَقْفَرَ	اقفر	اقفر	ءقفر	صحيح	qutrub
أَقْفَلَ	اقفل	اقفل	ءقفل	صحيح	qutrub
أَقَلَّ	اقل	اقل	ءقل	صحيح	qutrub
أقل	اقل	اقل	قول	derived	sarf-derivations
أقل	اقل	قال	قول	derived	sarf-derivations
إقْلاعٌ	اقلاع	اقلع	اقلع	Added	asmai-derivations
إقْلاَقٌ	اقلاق	اقلق	اقلق	Added	asmai-derivations
أقلام	اقلام	قلم	قلم	derived	sarf-derivations
أقلامهم	اقلامهم	قلم	قلم	derived	sarf-derivations
أَقْلَبَ	اقلب	اقلب	ءقلب	صحيح	qutrub
أَقْلَتَ	اقلت	اقلت	ءقلت	صحيح	qutrub
أقلت	اقلت	قل	قلل	derived	sarf-derivations
أَقْلَدَ	اقلد	اقلد	ءقلد	صحيح	qutrub
أَقْلَصَ	اقلص	اقلص	ءقلص	صحيح	qutrub
أَقْلَعَ	اقلع	اقلع	ءقلع	صحيح	qutrub
أقلعي	اقلعي	اقلع	قلع	derived	sarf-derivations
أَقْلَقَ	اقلق	اقلق	ءقلق	صحيح	qutrub
اِقْلَوَّدَ	اقلود	اقلود	اقلود	صحيح	qutrub
اِقْلَوْلَى	اقلولا	اقلولا	اقلولا	ناقص	qutrub
أقم	اقم	اقام		derived	sarf-derivations
أَقْمَأَ	اقما	اقما	ءقمء	صحيح	qutrub
أَقْمَى	اقما	اقما	ءقما	ناقص	qutrub
أقمتم	اقمتم	اقام	قوم	derived	sarf-derivations
أَقْمَحَ	اقمح	اقمح	ءقمح	صحيح	qutrub
أَقْمَرَ	اقمر	اقمر	ءقمر	صحيح	qutrub
أَقْمسَ	اقمس	اقمس	ءقمس	صحيح	qutrub
أَقْنَى	اقنا	اقنا	ءقنا	ناقص	qutrub
إقْنَاطٌ	اقناط	اقنط	اقنط	Added	asmai-derivations
إقْنَاعٌ	اقناع	اقنع	اقنع	Added	asmai-derivations
أَقْنَبَ	اقنب	اقنب	ءقنب	صحيح	qutrub
أَقْنَتَ	اقنت	اقنت	ءقنت	صحيح	qutrub
اقنتي	اقنتي	قنت	قنت	derived	sarf-derivations
أَقْنَحَ	اقنح	اقنح	ءقنح	صحيح	qutrub
أَقْنَدَ	اقند	اقند	ءقند	صحيح	qutrub
أَقْنَسَ	اقنس	اقنس	ءقنس	صحيح	qutrub
أَقْنَطَ	اقنط	اقنط	ءقنط	صحيح	qutrub
أَقْنَعَ	اقنع	اقنع	ءقنع	صحيح	qutrub
أَقْنَفَ	اقنف	اقنف	ءقنف	صحيح	qutrub
أَقْهَى	اقها	اقها	ءقها	ناقص	qutrub
أَقْهَبَ	اقهب	اقهب	ءقهب	صحيح	qutrub
أَقْهَرَ	اقهر	اقهر	ءقهر	صحيح	qutrub
أَقْهَمَ	اقهم	اقهم	ءقهم	صحيح	qutrub
أَقْوَى	اقوا	اقوا	ءقوا	ناقص	qutrub
إقْوَاءٌ	اقواء	اقوا	اقوا	Added	asmai-derivations
أقواتها	اقواتها	قوت	قوت	derived	sarf-derivations
اِقْوَر‍َّ	اقور	اقور	اقور	صحيح	qutrub
أَقْوَلَ	اقول	اقول	ءقول	صحيح	qutrub
أقول	اقول	قال		derived	sarf-derivations
أقوم	اقوم	اقوم		derived	sarf-derivations
أقيموا	اقيموا	اقام	قوم	derived	sarf-derivations
أَكَّ	اك	اك	ءك	صحيح	qutrub
أك	اك	كان		derived	sarf-derivations
أَكاءَ	اكاء	اكاء	ءكاء	أجوف	qutrub
أَكْأَبَ	اكاب	اكاب	ءكءب	صحيح	qutrub
أكابر	اكابر	اقوم		derived	sarf-derivations
أَكاحَ	اكاح	اكاح	ءكاح	أجوف	qutrub
أكاد	اكاد	كاد	كود	derived	sarf-derivations
أَكارَ	اكار	اكار	ءكار	أجوف	qutrub
أَكاسَ	اكاس	اكاس	ءكاس	أجوف	qutrub
أكالون	اكالون	اكال		derived	sarf-derivations
أَكانَ	اكان	اكان	ءكان	أجوف	qutrub
أكان	اكان	كان		derived	sarf-derivations
أَكَبَّ	اكب	اكب	ءكب	صحيح	qutrub
أَكْبَى	اكبا	اكبا	ءكبا	ناقص	qutrub
إكْبَابٌ	اكباب	اكب	اكب	Added	asmai-derivations
إِكْبَارٌ	اكبار	اكبر	اكبر	Added	asmai-derivations
أَكْبَرَ	اكبر	اكبر	ءكبر	صحيح	qutrub
أكبر	اكبر	اكبر	كبر	derived	sarf-derivations
أكبرنه	اكبرنه	اكبر	كبر	derived	sarf-derivations
أَكَتَّ	اكت	اكت	ءكت	صحيح	qutrub
اِكْتِئَابٌ	اكتءاب	اكتاب	اكتاب	Added	asmai-derivations
اِكْتَأَبَ	اكتاب	اكتاب	اكتءب	صحيح	qutrub
اِكْتادَ	اكتاد	اكتاد	اكتاد	أجوف	qutrub
اِكْتارَ	اكتار	اكتار	اكتار	أجوف	qutrub
اِكْتازَ	اكتاز	اكتاز	اكتاز	أجوف	qutrub
اِكْتاسَ	اكتاس	اكتاس	اكتاس	أجوف	qutrub
اِكْتالَ	اكتال	اكتال	اكتال	أجوف	qutrub
اكتالوا	اكتالوا	اكتال	كيل	derived	sarf-derivations
اِكْتامَ	اكتام	اكتام	اكتام	أجوف	qutrub
اِكْتانَ	اكتان	اكتان	اكتان	أجوف	qutrub
أَكْتَبَ	اكتب	اكتب	ءكتب	صحيح	qutrub
اِكْتَبَى	اكتبا	اكتبا	اكتبا	ناقص	qutrub
اِكْتَبَتَ	اكتبت	اكتبت	اكتبت	صحيح	qutrub
اِكْتَتَّ	اكتت	اكتت	اكتت	صحيح	qutrub
اِكْتِتَابٌ	اكتتاب	اكتتب	اكتتب	Added	asmai-derivations
اِكْتِتَامٌ	اكتتام	اكتتم	اكتتم	Added	asmai-derivations
اِكْتَتَبَ	اكتتب	اكتتب	اكتتب	صحيح	qutrub
اكتتبها	اكتتبها	اكتتب	كتب	derived	sarf-derivations
اِكْتَتَمَ	اكتتم	اكتتم	اكتتم	صحيح	qutrub
اِكْتِحَالٌ	اكتحال	اكتحل	اكتحل	Added	asmai-derivations
اِكْتَحَلَ	اكتحل	اكتحل	اكتحل	صحيح	qutrub
اِكْتَدَّ	اكتد	اكتد	اكتد	صحيح	qutrub
اِكْتَدَحَ	اكتدح	اكتدح	اكتدح	صحيح	qutrub
اِكْتَدَشَ	اكتدش	اكتدش	اكتدش	صحيح	qutrub
أَكْتَرَ	اكتر	اكتر	ءكتر	صحيح	qutrub
اِكْتَرَى	اكترا	اكترا	اكترا	ناقص	qutrub
اِكْتِرَاءٌ	اكتراء	اكترا	اكترا	Added	asmai-derivations
اِكْتِرَاثٌ	اكتراث	اكترث	اكترث	Added	asmai-derivations
اِكْتَرَبَ	اكترب	اكترب	اكترب	صحيح	qutrub
اِكْتَرَثَ	اكترث	اكترث	اكترث	صحيح	qutrub
اِكْتَزَّ	اكتز	اكتز	اكتز	صحيح	qutrub
اِكْتَسَى	اكتسا	اكتسا	اكتسا	ناقص	qutrub
اِكْتِسَاءٌ	اكتساء	اكتسا	اكتسا	Added	asmai-derivations
اِكْتِسَابٌ	اكتساب	اكتسب	اكتسب	Added	asmai-derivations
اِكْتِسَاحٌ	اكتساح	اكتسح	اكتسح	Added	asmai-derivations
اِكْتَسَبَ	اكتسب	اكتسب	اكتسب	صحيح	qutrub
اكتسب	اكتسب	اكتسب	كسب	derived	sarf-derivations
اكتسبت	اكتسبت	اكتسب	كسب	derived	sarf-derivations
اكتسبن	اكتسبن	اكتسب	كسب	derived	sarf-derivations
اكتسبوا	اكتسبوا	اكتسب	كسب	derived	sarf-derivations
اِكْتَسَحَ	اكتسح	اكتسح	اكتسح	صحيح	qutrub
اِكْتَسَعَ	اكتسع	اكتسع	اكتسع	صحيح	qutrub
اِكْتِشَافٌ	اكتشاف	اكتشف	اكتشف	Added	asmai-derivations
اِكْتَشَفَ	اكتشف	اكتشف	اكتشف	صحيح	qutrub
اِكْتَشَمَ	اكتشم	اكتشم	اكتشم	صحيح	qutrub
اِكْتَظَّ	اكتظ	اكتظ	اكتظ	صحيح	qutrub
اِكْتِظَاظٌ	اكتظاظ	اكتظ	اكتظ	Added	asmai-derivations
اِكْتَفَأَ	اكتفا	اكتفا	اكتفء	صحيح	qutrub
اِكْتَفَى	اكتفا	اكتفا	اكتفا	ناقص	qutrub
اِكْتِفَاءٌ	اكتفاء	اكتفا	اكتفا	Added	asmai-derivations
اِكْتَفَتَ	اكتفت	اكتفت	اكتفت	صحيح	qutrub
اِكْتَفَلَ	اكتفل	اكتفل	اكتفل	صحيح	qutrub
اِكْتَلَّ	اكتل	اكتل	اكتل	صحيح	qutrub
اِكْتَلَأَ	اكتلا	اكتلا	اكتلء	صحيح	qutrub
اِكْتَلَى	اكتلا	اكتلا	اكتلا	ناقص	qutrub
اِكْتَمَى	اكتما	اكتما	اكتما	ناقص	qutrub
اِكْتِمَالٌ	اكتمال	اكتمل	اكتمل	Added	asmai-derivations
اِكْتَمَلَ	اكتمل	اكتمل	اكتمل	صحيح	qutrub
اِكْتَمَنَ	اكتمن	اكتمن	اكتمن	صحيح	qutrub
أَكْتَنَ	اكتن	اكتن	ءكتن	صحيح	qutrub
اِكْتَنَّ	اكتن	اكتن	اكتن	صحيح	qutrub
اِكْتَنَى	اكتنا	اكتنا	اكتنا	ناقص	qutrub
اِكْتِنَازٌ	اكتناز	اكتنز	اكتنز	Added	asmai-derivations
اِكْتِنَافٌ	اكتناف	اكتنف	اكتنف	Added	asmai-derivations
اِكْتِنَاهٌ	اكتناه	اكتنه	اكتنه	Added	asmai-derivations
اِكْتَنَتَ	اكتنت	اكتنت	اكتنت	صحيح	qutrub
اِكْتَنَزَ	اكتنز	اكتنز	اكتنز	صحيح	qutrub
اِكْتَنَسَ	اكتنس	اكتنس	اكتنس	صحيح	qutrub
اِكْتَنَعَ	اكتنع	اكتنع	اكتنع	صحيح	qutrub
اِكْتَنَفَ	اكتنف	اكتنف	اكتنف	صحيح	qutrub
اِكْتَنَهَ	اكتنه	اكتنه	اكتنه	صحيح	qutrub
اِكْتَهَى	اكتها	اكتها	اكتها	ناقص	qutrub
اِكْتِهَالٌ	اكتهال	اكتهل	اكتهل	Added	asmai-derivations
اِكْتَهَفَ	اكتهف	اكتهف	اكتهف	صحيح	qutrub
اِكْتَهَلَ	اكتهل	اكتهل	اكتهل	صحيح	qutrub
اِكْتَوَى	اكتوا	اكتوا	اكتوا	ناقص	qutrub
اِكْتِوَاءٌ	اكتواء	اكتوا	اكتوا	Added	asmai-derivations
أَكَثَّ	اكث	اكث	ءكث	صحيح	qutrub
إكْثَارٌ	اكثار	اكثر	اكثر	Added	asmai-derivations
أَكْثَبَ	اكثب	اكثب	ءكثب	صحيح	qutrub
أَكْثَرَ	اكثر	اكثر	ءكثر	صحيح	qutrub
أكثر	اكثر	اكثر	كثر	derived	sarf-derivations
أكثركم	اكثركم	اكثر	كثر	derived	sarf-derivations
أكثرهم	اكثرهم	اكثر	كثر	derived	sarf-derivations
أَكْثَمَ	اكثم	اكثم	ءكثم	صحيح	qutrub
إكْحَالٌ	اكحال	اكحل	اكحل	Added	asmai-derivations
أَكَدَّ	اكد	اكد	ءكد	صحيح	qutrub
أَكْدَى	اكدا	اكدا	ءكدا	ناقص	qutrub
اِكْدَرَّ	اكدر	اكدر	اكدر	صحيح	qutrub
أَكْدَشَ	اكدش	اكدش	ءكدش	صحيح	qutrub
أَكْدَفَ	اكدف	اكدف	ءكدف	صحيح	qutrub
أَكْدَمَ	اكدم	اكدم	ءكدم	صحيح	qutrub
أَكْدَهَ	اكده	اكده	ءكده	صحيح	qutrub
أَكَذَّ	اكذ	اكذ	ءكذ	صحيح	qutrub
أَكْذَى	اكذا	اكذا	ءكذا	ناقص	qutrub
أَكْذَبَ	اكذب	اكذب	ءكذب	صحيح	qutrub
أكذبتم	اكذبتم	كذب	كذب	derived	sarf-derivations
أَكَر	اكر	اكر	ءكر	صحيح	qutrub
أَكْرَى	اكرا	اكرا	ءكرا	ناقص	qutrub
إكْرَاءٌ	اكراء	اكرا	اكرا	Added	asmai-derivations
إكْرَامٌ	اكرام	اكرم	اكرم	Added	asmai-derivations
إكراه	اكراه	اكراه	كره	derived	sarf-derivations
إكْرَاهٌ	اكراه	اكره	اكره	Added	asmai-derivations
إكراههن	اكراههن	اكراه	كره	derived	sarf-derivations
أَكْرَبَ	اكرب	اكرب	ءكرب	صحيح	qutrub
أَكْرَثَ	اكرث	اكرث	ءكرث	صحيح	qutrub
أَكْرَعَ	اكرع	اكرع	ءكرع	صحيح	qutrub
أَكْرَمَ	اكرم	اكرم	ءكرم	صحيح	qutrub
أكرمكم	اكرمكم	اكرم	كرم	derived	sarf-derivations
أكرمن	اكرمن	اكرم	كرم	derived	sarf-derivations
أكرمي	اكرمي	اكرم	كرم	derived	sarf-derivations
أَكْرَهَ	اكره	اكره	ءكره	صحيح	qutrub
أكره	اكره	اكره	كره	derived	sarf-derivations
أكرهتنا	اكرهتنا	اكره	كره	derived	sarf-derivations
أَكَزَّ	اكز	اكز	ءكز	صحيح	qutrub
أَكْزَمَ	اكزم	اكزم	ءكزم	صحيح	qutrub
إِكْسَابٌ	اكساب	اكسب	اكسب	Added	asmai-derivations
أَكْسَبَ	اكسب	اكسب	ءكسب	صحيح	qutrub
أَكْسَدَ	اكسد	اكسد	ءكسد	صحيح	qutrub
أَكْسَدَةٌ	اكسدة	اكسد	اكسد	Added	asmai-derivations
أَكْسَفَ	اكسف	اكسف	ءكسف	صحيح	qutrub
أَكْسَلَ	اكسل	اكسل	ءكسل	صحيح	qutrub
أَكْشَأَ	اكشا	اكشا	ءكشء	صحيح	qutrub
أَكْشَدَ	اكشد	اكشد	ءكشد	صحيح	qutrub
أَكْشَفَ	اكشف	اكشف	ءكشف	صحيح	qutrub
اكشف	اكشف	كشف	كشف	derived	sarf-derivations
أَكَصَّ	اكص	اكص	ءكص	صحيح	qutrub
أَكَعَّ	اكع	اكع	ءكع	صحيح	qutrub
أَكْعَبَ	اكعب	اكعب	ءكعب	صحيح	qutrub
أَكْعَتَ	اكعت	اكعت	ءكعت	صحيح	qutrub
أَكْعَرَ	اكعر	اكعر	ءكعر	صحيح	qutrub
أَكَّفَ	اكف	اكف	ءكف	صحيح	qutrub
أَكْفَأَ	اكفا	اكفا	ءكفء	صحيح	qutrub
إِكْفَاءٌ	اكفاء	اكفا	اكفا	Added	asmai-derivations
أكفاركم	اكفاركم	كفار	كفر	derived	sarf-derivations
أَكْفَحَ	اكفح	اكفح	ءكفح	صحيح	qutrub
أَكْفَرَ	اكفر	اكفر	ءكفر	صحيح	qutrub
أكفر	اكفر	اكفر	كفر	derived	sarf-derivations
اكفر	اكفر	كفر	كفر	derived	sarf-derivations
أكفرت	اكفرت	كفر	كفر	derived	sarf-derivations
أكفرتم	اكفرتم	كفر	كفر	derived	sarf-derivations
أكفره	اكفره	اكفر	كفر	derived	sarf-derivations
أَكْفَلَ	اكفل	اكفل	ءكفل	صحيح	qutrub
أكفلنيها	اكفلنيها	كفل	كفل	derived	sarf-derivations
اِكْفِهْرارٌ	اكفهرار	اكفهر	اكفهر	Added	asmai-derivations
أَكَلَّ	اكل	اكل	ءكل	صحيح	qutrub
أكل	اكل	اكل	اكل	derived	sarf-derivations
أَكْلٌ	اكل	اكل	اكل	Added	asmai-derivations
أَكْلَأَ	اكلا	اكلا	ءكلء	صحيح	qutrub
أكلا	اكلا	اكلا		derived	sarf-derivations
إِكْلاَلٌ	اكلال	اكل	اكل	Added	asmai-derivations
أَكْلَحَ	اكلح	اكلح	ءكلح	صحيح	qutrub
أَكْلَعَ	اكلع	اكلع	ءكلع	صحيح	qutrub
أَكْلَفَ	اكلف	اكلف	ءكلف	صحيح	qutrub
أكلم	اكلم	اكلم	كلم	derived	sarf-derivations
أكله	اكله	اكل	اكل	derived	sarf-derivations
أكلها	اكلها	اكل	اكل	derived	sarf-derivations
أَكَمَّ	اكم	اكم	ءكم	صحيح	qutrub
أَكْمَأَ	اكما	اكما	ءكمء	صحيح	qutrub
أَكْمَى	اكما	اكما	ءكما	ناقص	qutrub
إِكْمَالٌ	اكمال	اكمل	اكمل	Added	asmai-derivations
أكمامها	اكمامها	كم	كمم	derived	sarf-derivations
أَكْمَتَ	اكمت	اكمت	ءكمت	صحيح	qutrub
اِكْمَتَّ	اكمت	اكمت	اكمت	صحيح	qutrub
أَكْمَحَ	اكمح	اكمح	ءكمح	صحيح	qutrub
أَكْمَخَ	اكمخ	اكمخ	ءكمخ	صحيح	qutrub
أَكْمَدَ	اكمد	اكمد	ءكمد	صحيح	qutrub
أَكْمَشَ	اكمش	اكمش	ءكمش	صحيح	qutrub
أَكْمَلَ	اكمل	اكمل	ءكمل	صحيح	qutrub
أكملت	اكملت	اكمل	كمل	derived	sarf-derivations
أَكَنَّ	اكن	اكن	ءكن	صحيح	qutrub
أكن	اكن	كان		derived	sarf-derivations
أَكْنَى	اكنا	اكنا	ءكنا	ناقص	qutrub
أكنانا	اكنانا	كن	كنن	derived	sarf-derivations
أَكْنَبَ	اكنب	اكنب	ءكنب	صحيح	qutrub
أكنة	اكنة	كنان	كنن	derived	sarf-derivations
أَكْنَعَ	اكنع	اكنع	ءكنع	صحيح	qutrub
أَكْنَفَ	اكنف	اكنف	ءكنف	صحيح	qutrub
أكننتم	اكننتم	اكن	كنن	derived	sarf-derivations
أَكْنَهَ	اكنه	اكنه	ءكنه	صحيح	qutrub
أَكْهَى	اكها	اكها	ءكها	ناقص	qutrub
اِكْهابَّ	اكهاب	اكهاب	اكهاب	صحيح	qutrub
أَكْهَدَ	اكهد	اكهد	ءكهد	صحيح	qutrub
أَكْهَمَ	اكهم	اكهم	ءكهم	صحيح	qutrub
أكون	اكون	كان	كون	derived	sarf-derivations
أَكْيَسَ	اكيس	اكيس	ءكيس	صحيح	qutrub
أَلَّ	ال	ال	ءل	صحيح	qutrub
إل	ال	ال		derived	sarf-derivations
الآثمين	الءثمين	ءثم	اثم	derived	sarf-derivations
الآخر	الءخر	ءخر	اخر	derived	sarf-derivations
الآخرة	الءخرة	ءخرة	اخر	derived	sarf-derivations
الآخرين	الءخرين	ءخر	اخر	derived	sarf-derivations
الآزفة	الءزفة	ءزفة	ازف	derived	sarf-derivations
الآفاق	الءفاق	افق	فيق	derived	sarf-derivations
الآفلين	الءفلين	ءفل	افل	derived	sarf-derivations
الآلهة	الءلهة	اله	اله	derived	sarf-derivations
الآمرون	الءمرون	ءمر	امر	derived	sarf-derivations
الآمنين	الءمنين	ءمن	امن	derived	sarf-derivations
الآن	الءن	الءن	اون	derived	sarf-derivations
الآيات	الءيات	ءية	ايي	derived	sarf-derivations
الآية	الءية	الءية		derived	sarf-derivations
أَلَّى	الا	الا	ءلا	ناقص	qutrub
إلا	الا	الا	الا	derived	sarf-derivations
أَلْأَى	الاا	الاا	ءلءا	ناقص	qutrub
أَلابَ	الاب	الاب	ءلاب	أجوف	qutrub
الأبتر	الابتر	ابتر	بتر	derived	sarf-derivations
الأبرار	الابرار	بر	برر	derived	sarf-derivations
الأبصار	الابصار	بصر	بصر	derived	sarf-derivations
الإبل	الابل	الابل		derived	sarf-derivations
الأبواب	الابواب	باب	بوب	derived	sarf-derivations
الأبيض	الابيض	ابيض	بيض	derived	sarf-derivations
أَلاتَ	الات	الات	ءلات	أجوف	qutrub
الأتقى	الاتقا	اتقا	وقي	derived	sarf-derivations
أَلاثَ	الاث	الاث	ءلاث	أجوف	qutrub
الإثم	الاثم	اثم	اثم	derived	sarf-derivations
الأثيم	الاثيم	اثيم	اثم	derived	sarf-derivations
الأجداث	الاجداث	جدث	جدث	derived	sarf-derivations
الأجل	الاجل	الاجل		derived	sarf-derivations
الأجلين	الاجلين	اجل	اجل	derived	sarf-derivations
أَلاحَ	الاح	الاح	ءلاح	أجوف	qutrub
الأحاديث	الاحاديث	حديث	حدث	derived	sarf-derivations
الأحبار	الاحبار	الاحبار		derived	sarf-derivations
الأحزاب	الاحزاب	حزب	حزب	derived	sarf-derivations
الإحسان	الاحسان	احسان	حسن	derived	sarf-derivations
الأحلام	الاحلام	حلم	حلم	derived	sarf-derivations
الأحمال	الاحمال	الاحمال		derived	sarf-derivations
الأحياء	الاحياء	حي	حيي	derived	sarf-derivations
الأخ	الاخ	اخ	اخو	derived	sarf-derivations
الأخت	الاخت	الاخت		derived	sarf-derivations
الأختين	الاختين	اخت	اخو	derived	sarf-derivations
الأخدود	الاخدود	اخدود	خدد	derived	sarf-derivations
الأخرى	الاخرا	اخرا	اخر	derived	sarf-derivations
الأخسرون	الاخسرون	اخسر	خسر	derived	sarf-derivations
الأخسرين	الاخسرين	اخسر	خسر	derived	sarf-derivations
الأخضر	الاخضر	اخضر	خضر	derived	sarf-derivations
الأخلاء	الاخلاء	خل	خلل	derived	sarf-derivations
الأخيار	الاخيار	خير	خير	derived	sarf-derivations
الأدبار	الادبار	دبر	دبر	derived	sarf-derivations
الأدنى	الادنا	ادنا	دنو	derived	sarf-derivations
أَلاذَ	الاذ	الاذ	ءلاذ	أجوف	qutrub
الأذقان	الاذقان	ذقن	ذقن	derived	sarf-derivations
الأذل	الاذل	اذل	ذلل	derived	sarf-derivations
الأذلين	الاذلين	اذل	ذلل	derived	sarf-derivations
الأرائك	الاراءك	اريكة	ارك	derived	sarf-derivations
الإربة	الاربة	اربة	ارب	derived	sarf-derivations
الأرحام	الارحام	رحم	رحم	derived	sarf-derivations
الأرذلون	الارذلون	ارذل	رذل	derived	sarf-derivations
الأرض	الارض	ارض	ارض	derived	sarf-derivations
الأزواج	الازواج	الازواج		derived	sarf-derivations
الأسباب	الاسباب	سبب	سبب	derived	sarf-derivations
الأسرى	الاسرا	اسير	اسر	derived	sarf-derivations
الأسفل	الاسفل	اسفل	سفل	derived	sarf-derivations
الأسفلين	الاسفلين	اسفل	سفل	derived	sarf-derivations
الإسلام	الاسلام	اسلام	سلم	derived	sarf-derivations
الاسم	الاسم	اسم	سمو	derived	sarf-derivations
الأسماء	الاسماء	اسم	سمو	derived	sarf-derivations
الأسواق	الاسواق	سوق	سوق	derived	sarf-derivations
الأسود	الاسود	اسود	سود	derived	sarf-derivations
الأشر	الاشر	اشر	شرر	derived	sarf-derivations
الأشرار	الاشرار	شرير	شرر	derived	sarf-derivations
الأشقى	الاشقا	اشقا	شقق	derived	sarf-derivations
الأشهاد	الاشهاد	الاشهاد		derived	sarf-derivations
الأشهر	الاشهر	شهر	شهر	derived	sarf-derivations
أَلاصَ	الاص	الاص	ءلاص	أجوف	qutrub
الإصباح	الاصباح	اصباح	صبح	derived	sarf-derivations
