singular	plural	source
حلق	احلاق	qalsadi-nouns
حلق	حلوق	qalsadi-nouns
حلقوم	حلاقيم	qalsadi-nouns
حلقوم	حلاقم	qalsadi-nouns
حلم	احلام	qalsadi-nouns
حلم	حلوم	qalsadi-nouns
حلمة	حلم	qalsadi-nouns
حلوا	حلاوا	qalsadi-nouns
حلواء	حلاوا	qalsadi-nouns
حلوب	حلب	qalsadi-nouns
حلوب	حلاءب	qalsadi-nouns
حلية	حلا	qalsadi-nouns
حليف	حلفاءجاحلاف	qalsadi-nouns
حليف	وحلفاء	qalsadi-nouns
حليق	حلقا	qalsadi-nouns
حليل	احلاء	qalsadi-nouns
حليلة	حلاءل	qalsadi-nouns
حليم	حلماء	qalsadi-nouns
حليم	احلام	qalsadi-nouns
حما	حميات	qalsadi-nouns
حماة	حما	qalsadi-nouns
حماة	حموات	qalsadi-nouns
حمار	حمير	qalsadi-nouns
حمار	حمر	qalsadi-nouns
حمار	حماءر	qalsadi-nouns
حمالة	حماءل	qalsadi-nouns
حمام	حماءم	qalsadi-nouns
حمامة	حماءم	qalsadi-nouns
حمة	حمم	qalsadi-nouns
حمة	حما	qalsadi-nouns
حمة	حم	qalsadi-nouns
حمة	حمام	qalsadi-nouns
حمراء	مءنثاحمرحمراوات	qalsadi-nouns
حمراء	حمر	qalsadi-nouns
حمض	حموض	qalsadi-nouns
حمقاء	مءنثاحمقحمقاوات	qalsadi-nouns
حمل	حملان	qalsadi-nouns
حمل	احمال	qalsadi-nouns
حمل	حمول	qalsadi-nouns
حمل	حمولة	qalsadi-nouns
حملة	مفردحامل	qalsadi-nouns
حملة	حملات	qalsadi-nouns
حمو	احماءمثناهحموان	qalsadi-nouns
حميم	احماءجمءحماءم	qalsadi-nouns
حنبل	حنابل	qalsadi-nouns
حنث	احناث	qalsadi-nouns
حنجرة	حناجر	qalsadi-nouns
حنجور	حناجير	qalsadi-nouns
حنش	احناش	qalsadi-nouns
حنطة	حنط	qalsadi-nouns
حنفاء	مءنثاحنف	qalsadi-nouns
حنك	احناك	qalsadi-nouns
حنو	احناء	qalsadi-nouns
حنو	حني	qalsadi-nouns
حنية	حنايا	qalsadi-nouns
حنيف	حنفاء	qalsadi-nouns
حنيفي	احناف	qalsadi-nouns
حواس	مفردحاسة	qalsadi-nouns
حوت	حيتان	qalsadi-nouns
حوجلة	حواجل	qalsadi-nouns
حور	احوار	qalsadi-nouns
حوراء	حور	qalsadi-nouns
حوض	احواض	qalsadi-nouns
حوض	حياض	qalsadi-nouns
حوف	احواف	qalsadi-nouns
حول	احوال	qalsadi-nouns
حولاء	مءنثاحول	qalsadi-nouns
حولي	حوالي	qalsadi-nouns
حولي	حوالية	qalsadi-nouns
حي	احياء	qalsadi-nouns
حياة	حيوات	qalsadi-nouns
حياض	مفردحوض	qalsadi-nouns
حية	حيواتتذكروتءن	qalsadi-nouns
حيد	حيود	qalsadi-nouns
حيد	احياد	qalsadi-nouns
حيدة	حيد	qalsadi-nouns
حير	احيار	qalsadi-nouns
حيران	مءحيراحيارا	qalsadi-nouns
حيزوم	حيازيم	qalsadi-nouns
حيضة	حيض	qalsadi-nouns
حيل	مفردحيلة	qalsadi-nouns
حيل	احيال	qalsadi-nouns
حيل	حيول	qalsadi-nouns
حيلة	حيل	qalsadi-nouns
خاءف	خوف	qalsadi-nouns
خاءن	خوان	qalsadi-nouns
خاءن	خونة	qalsadi-nouns
خابية	خواب	qalsadi-nouns
خابية	الخوابي	qalsadi-nouns
خاتم	خواتموخواتيم	qalsadi-nouns
خاتم	ختم	qalsadi-nouns
خاتمة	خواتيم	qalsadi-nouns
خادم	خدام	qalsadi-nouns
خادم	خدم	qalsadi-nouns
خادم	خوادم	qalsadi-nouns
خارق	خوارق	qalsadi-nouns
خازن	خزنة	qalsadi-nouns
خازن	خزان	qalsadi-nouns
خازوق	خوازيق	qalsadi-nouns
خاشع	خشع	qalsadi-nouns
خاصة	خواص	qalsadi-nouns
خاصرة	خواصر	qalsadi-nouns
خاضع	خضع	qalsadi-nouns
خاطء	خطاة	qalsadi-nouns
خاطء	خواطء	qalsadi-nouns
خاطب	خطاب	qalsadi-nouns
خاطر	خواطر	qalsadi-nouns
خاطف	خواطف	qalsadi-nouns
خاطوف	خواطيف	qalsadi-nouns
خافت	خوافت	qalsadi-nouns
خافق	خوافق	qalsadi-nouns
خافق	مثناخافقانخافقان	qalsadi-nouns
خافي	خواف	qalsadi-nouns
خافي	الخوافي	qalsadi-nouns
خال	اخوال	qalsadi-nouns
خال	خءولة	qalsadi-nouns
خالص	خلص	qalsadi-nouns
خالع	خوالع	qalsadi-nouns
خالي	خوال	qalsadi-nouns
خالي	الخوالي	qalsadi-nouns
خام	اخوام	qalsadi-nouns
خامل	خمل	qalsadi-nouns
خباء	اخبية	qalsadi-nouns
خباءث	مفردخبيثة	qalsadi-nouns
خباط	خبط	qalsadi-nouns
خبر	اخبار	qalsadi-nouns
خبل	ات	qalsadi-nouns
خبيءة	خبايا	qalsadi-nouns
خبيث	خبثاء	qalsadi-nouns
خبيث	خباءث	qalsadi-nouns
خبير	خبراء	qalsadi-nouns
خبيزة	ات	qalsadi-nouns
خبيص	ات	qalsadi-nouns
خبيط	خبط	qalsadi-nouns
ختام	ختم	qalsadi-nouns
ختن	اختان	qalsadi-nouns
خد	خدود	qalsadi-nouns
خدة	خدد	qalsadi-nouns
خدر	خدور	qalsadi-nouns
خدش	خدوش	qalsadi-nouns
خدش	اخداش	qalsadi-nouns
خدمة	خدم	qalsadi-nouns
خدن	اخدان	qalsadi-nouns
خدوع	خدع	qalsadi-nouns
خديعة	خداءع	qalsadi-nouns
خذروف	خذاريف	qalsadi-nouns
خراب	اخربة	qalsadi-nouns
خرابيش	مفردخربشة	qalsadi-nouns
خراج	اخرجة	qalsadi-nouns
خربة	خرب	qalsadi-nouns
خربة	اخرب	qalsadi-nouns
خربة	خروب	qalsadi-nouns
خربة	خراءب	qalsadi-nouns
خرت	خروت	qalsadi-nouns
خرز	مفردخرزة	qalsadi-nouns
خرزة	خرز	qalsadi-nouns
خرس	اخراس	qalsadi-nouns
خرس	خروس	qalsadi-nouns
خرساء	مءنثاخرس	qalsadi-nouns
خرش	خروش	qalsadi-nouns
خرص	اخراص	qalsadi-nouns
خرطوم	خراطيم	qalsadi-nouns
خرطون	خراطين	qalsadi-nouns
خرق	خروق	qalsadi-nouns
خرقاء	مءنثاخرق	qalsadi-nouns
خرقة	خرق	qalsadi-nouns
خرنق	خرانق	qalsadi-nouns
خروعة	واحدةالخروع	qalsadi-nouns
خروف	خراف	qalsadi-nouns
خروف	اخرفة	qalsadi-nouns
خروف	خرفان	qalsadi-nouns
خريد	خراءد	qalsadi-nouns
خريد	خرود	qalsadi-nouns
خريد	خرد	qalsadi-nouns
خرير	اخرة	qalsadi-nouns
خريطة	خراءط	qalsadi-nouns
خز	خزوز	qalsadi-nouns
خزانة	خزاءن	qalsadi-nouns
خزينة	خزاءن	qalsadi-nouns
خسارة	خساءر	qalsadi-nouns
خسيس	اخسة	qalsadi-nouns
خسيس	خساس	qalsadi-nouns
خسيسة	خساءس	qalsadi-nouns
خش	اخشاش	qalsadi-nouns
خشاش	واحدتهخشاشة	qalsadi-nouns
خشب	اخشاب	qalsadi-nouns
خشبة	واحدةالخشب	qalsadi-nouns
خشرم	خشارمة	qalsadi-nouns
خشف	خشوف	qalsadi-nouns
خشف	اخشاف	qalsadi-nouns
خشوع	خشع	qalsadi-nouns
خشوف	خشف	qalsadi-nouns
خص	اخصاص	qalsadi-nouns
خص	خصاص	qalsadi-nouns
خصاصة	خصاص	qalsadi-nouns
خصب	اخصاب	qalsadi-nouns
خصبة	اخصاب	qalsadi-nouns
خصر	خصور	qalsadi-nouns
خصفة	خصف	qalsadi-nouns
خصفة	خصاف	qalsadi-nouns
خصل	خصول	qalsadi-nouns
خصلة	خصال	qalsadi-nouns
خصلة	خصل	qalsadi-nouns
خصم	خصوم	qalsadi-nouns
خصم	اخصام	qalsadi-nouns
خصي	خصية	qalsadi-nouns
خصي	خصيان	qalsadi-nouns
خصية	خصامثناخصيتان	qalsadi-nouns
خصيلة	خصاءل	qalsadi-nouns
خضب	خضوب	qalsadi-nouns
خضراء	خضراواتمءنثاخضر	qalsadi-nouns
خضرة	خضر	qalsadi-nouns
خضوع	خضع	qalsadi-nouns
خضيب	خضب	qalsadi-nouns
خط	خطوط	qalsadi-nouns
خطا	اخطاء	qalsadi-nouns
خطاف	خطاطيف	qalsadi-nouns
خطام	خطم	qalsadi-nouns
خطام	اخطمة	qalsadi-nouns
خطب	خطوب	qalsadi-nouns
خطبة	خطب	qalsadi-nouns
خطة	خطط	qalsadi-nouns
خطر	اخطار	qalsadi-nouns
خطم	خطوم	qalsadi-nouns
خطوة	خطا	qalsadi-nouns
خطوة	خطاء	qalsadi-nouns
خطيءة	خطايا	qalsadi-nouns
خطيب	خطباء	qalsadi-nouns
خطير	خطر	qalsadi-nouns
خطيفة	خطاءف	qalsadi-nouns
خف	اخفاف	qalsadi-nouns
خف	خفاف	qalsadi-nouns
خفاء	اخفية	qalsadi-nouns
خفاش	خفافيش	qalsadi-nouns
خفي	خفايا	qalsadi-nouns
خفير	خفراء	qalsadi-nouns
خفير	خفر	qalsadi-nouns
خفيف	اخفاء	qalsadi-nouns
خفيف	خفاف	qalsadi-nouns
خل	اخلال	qalsadi-nouns
خلال	اخلة	qalsadi-nouns
خلب	اخلاب	qalsadi-nouns
خلة	خلال	qalsadi-nouns
خلة	خلل	qalsadi-nouns
خلخال	خلاخيل	qalsadi-nouns
خلخل	خلاخل	qalsadi-nouns
خلد	اخلاد	qalsadi-nouns
خلد	مناجذمنغيرلفظه	qalsadi-nouns
خلص	خلصاء	qalsadi-nouns
خلط	اخلاط	qalsadi-nouns
خلف	اخلاف	qalsadi-nouns
خلف	خلوف	qalsadi-nouns
خلق	اخلاق	qalsadi-nouns
خلقة	خلق	qalsadi-nouns
خلقين	خلاقين	qalsadi-nouns
خلل	خلال	qalsadi-nouns
خلو	اخلاء	qalsadi-nouns
خلوة	خلوات	qalsadi-nouns
خلي	اخلياء	qalsadi-nouns
خلية	خلايا	qalsadi-nouns
خليج	خلجان	qalsadi-nouns
خليج	خلج	qalsadi-nouns
خليط	خلط	qalsadi-nouns
خليط	خلطاء	qalsadi-nouns
خليع	خلعاء	qalsadi-nouns
خليف	خلف	qalsadi-nouns
خليفة	خلفاء	qalsadi-nouns
خليق	خلق	qalsadi-nouns
خليق	خلقاءجخلاءق	qalsadi-nouns
خليقة	خلاءق	qalsadi-nouns
خليل	اخلاء	qalsadi-nouns
خليل	خلان	qalsadi-nouns
خليل	خلاءل	qalsadi-nouns
خم	خممة	qalsadi-nouns
خمار	خمر	qalsadi-nouns
خمار	اخمرة	qalsadi-nouns
خمج	اخماج	qalsadi-nouns
خمخم	خماخم	qalsadi-nouns
خمر	خمور	qalsadi-nouns
خمرة	خمر	qalsadi-nouns
خمس	عددمفردمعدودهج	qalsadi-nouns
خمس	اخماس	qalsadi-nouns
خمسة	عددمذكرخمس	qalsadi-nouns
خمسة	مفر	qalsadi-nouns
خمش	خموش	qalsadi-nouns
خمير	خماءر	qalsadi-nouns
خميلة	خماءل	qalsadi-nouns
خنثا	خناثا	qalsadi-nouns
خنجر	خناجر	qalsadi-nouns
خندق	خنادق	qalsadi-nouns
خنزير	خنازير	qalsadi-nouns
خنزيرة	انثاالخنزير	qalsadi-nouns
خنصر	خناصرمء	qalsadi-nouns
خنفس	خنافس	qalsadi-nouns
خنفساء	خنافس	qalsadi-nouns
خنوع	خنع	qalsadi-nouns
خنيفة	خناءف	qalsadi-nouns
خوان	اخونة	qalsadi-nouns
خوان	خون	qalsadi-nouns
خوخة	واحدةالخوخ	qalsadi-nouns
خوذة	خوذ	qalsadi-nouns
خوري	خوارنة	qalsadi-nouns
خيال	اخيلة	qalsadi-nouns
خير	خيار	qalsadi-nouns
خير	اخيار	qalsadi-nouns
خير	الجمعاخياروخيار	qalsadi-nouns
خيزران	خيازر	qalsadi-nouns
خيشوم	خياشيم	qalsadi-nouns
خيط	خيوط	qalsadi-nouns
خيط	خيطان	qalsadi-nouns
خيف	اخياف	qalsadi-nouns
خيف	خيوف	qalsadi-nouns
خيل	خيول	qalsadi-nouns
خيل	اخيال	qalsadi-nouns
خيمة	خيم	qalsadi-nouns
خيمة	خيام	qalsadi-nouns
داء	ادواء	qalsadi-nouns
داءرة	دواءر	qalsadi-nouns
دابة	دواب	qalsadi-nouns
دابر	دوابر	qalsadi-nouns
داثر	دواثر	qalsadi-nouns
داجن	دواجن	qalsadi-nouns
داخلة	دواخل	qalsadi-nouns
داخنة	دواخن	qalsadi-nouns
دار	دور	qalsadi-nouns
دار	ديار	qalsadi-nouns
دار	ديارة	qalsadi-nouns
دارس	دوارس	qalsadi-nouns
دارعة	دوارع	qalsadi-nouns
داعر	دعار	qalsadi-nouns
داعي	دعاة	qalsadi-nouns
داعي	دواع	qalsadi-nouns
داعي	الدواعي	qalsadi-nouns
داغصة	دواغص	qalsadi-nouns
دافع	دوافع	qalsadi-nouns
دال	ادوال	qalsadi-nouns
دالة	دال	qalsadi-nouns
دالف	دلف	qalsadi-nouns
دالية	دوال	qalsadi-nouns
دالية	الدوالي	qalsadi-nouns
داني	دناة	qalsadi-nouns
داهي	دهاة	qalsadi-nouns
داهية	دواه	qalsadi-nouns
داهية	الدواهي	qalsadi-nouns
دب	دببة	qalsadi-nouns
دب	ادباب	qalsadi-nouns
دب	دباب	qalsadi-nouns
دبر	ادبر	qalsadi-nouns
دبر	ادبار	qalsadi-nouns
دبر	دبور	qalsadi-nouns
دبرة	دبر	qalsadi-nouns
دبرة	دبار	qalsadi-nouns
دبش	ادباش	qalsadi-nouns
دبور	دبر	qalsadi-nouns
دبور	دباءر	qalsadi-nouns
دبور	دبابير	qalsadi-nouns
دبوس	دبابيس	qalsadi-nouns
دثار	دثر	qalsadi-nouns
دجمة	دجم	qalsadi-nouns
دجنة	دجن	qalsadi-nouns
دجية	دجا	qalsadi-nouns
دحض	دحاض	qalsadi-nouns
دخان	ادخنة	qalsadi-nouns
دخس	ادخاس	qalsadi-nouns
دخيل	دخلاء	qalsadi-nouns
در	درر	qalsadi-nouns
دراج	دراريج	qalsadi-nouns
دراعة	دراريع	qalsadi-nouns
دراقة	واحدةالدراق	qalsadi-nouns
دراقنة	واحدةالدراقن	qalsadi-nouns
دراهم	مفرددرهم	qalsadi-nouns
درب	دروب	qalsadi-nouns
درب	دراب	qalsadi-nouns
درب	ادراب	qalsadi-nouns
دربوز	درابيز	qalsadi-nouns
درة	واحدةالدر	qalsadi-nouns
درة	درر	qalsadi-nouns
درج	ادراج	qalsadi-nouns
درج	درجة	qalsadi-nouns
درجة	درج	qalsadi-nouns
دردر	درادر	qalsadi-nouns
درز	دروز	qalsadi-nouns
درزي	درزة	qalsadi-nouns
درس	ادراس	qalsadi-nouns
درس	درسان	qalsadi-nouns
درس	دروس	qalsadi-nouns
درع	دروع	qalsadi-nouns
درع	ادرع	qalsadi-nouns
درع	دراع	qalsadi-nouns
دركة	درك	qalsadi-nouns
درن	ادران	qalsadi-nouns
درهم	دراهم	qalsadi-nouns
درويش	دراويش	qalsadi-nouns
دريءة	درايا	qalsadi-nouns
دريكة	دراءك	qalsadi-nouns
دسار	دسر	qalsadi-nouns
دست	دسوت	qalsadi-nouns
دستور	دساتير	qalsadi-nouns
دسيس	دسس	qalsadi-nouns
دسيعة	دساءع	qalsadi-nouns
دعاء	ادعية	qalsadi-nouns
دعام	دعم	qalsadi-nouns
دعامة	دعاءم	qalsadi-nouns
دعامة	مثنا	qalsadi-nouns
دعص	دعصة	qalsadi-nouns
دعص	ادعاص	qalsadi-nouns
دعوا	دعاو	qalsadi-nouns
دعوا	دعاوا	qalsadi-nouns
دعوة	دعوات	qalsadi-nouns
دغل	ادغال	qalsadi-nouns
دغل	دغال	qalsadi-nouns
دف	دفوف	qalsadi-nouns
دفء	ادفاء	qalsadi-nouns
دفءن	دفاء	qalsadi-nouns
دفتر	دفاتر	qalsadi-nouns
دفعة	دفع	qalsadi-nouns
دفن	ادفان	qalsadi-nouns
دفن	دفان	qalsadi-nouns
دفين	دفناءمفعول	qalsadi-nouns
دفين	دفاءن	qalsadi-nouns
دقيق	جادقة	qalsadi-nouns
دقيق	وادقاء	qalsadi-nouns
دقيق	ودقا	qalsadi-nouns
دقيقة	دقاءق	qalsadi-nouns
دك	دكاك	qalsadi-nouns
دك	دكوك	qalsadi-nouns
دكان	دكاكينيذكرويءنث	qalsadi-nouns
دكة	دككة	qalsadi-nouns
دكة	دكاك	qalsadi-nouns
دكتور	دكاترة	qalsadi-nouns
دكناء	مءنثادكن	qalsadi-nouns
دلاة	دلا	qalsadi-nouns
دلاة	دلوات	qalsadi-nouns
دلاع	واحدةدلاعة	qalsadi-nouns
دلالة	دلاءل	qalsadi-nouns
دلس	ادلاس	qalsadi-nouns
دلفين	دلافين	qalsadi-nouns
دلو	دلاءمءنثوقديذك	qalsadi-nouns
دليك	دلك	qalsadi-nouns
دليل	ادلة	qalsadi-nouns
دليل	ادلاء	qalsadi-nouns
دليلة	دلاءلمءنثدليل	qalsadi-nouns
دم	دماء	qalsadi-nouns
دماغ	ادمغة	qalsadi-nouns
دمع	دموع	qalsadi-nouns
دمع	ادمع	qalsadi-nouns
دمعة	دمع	qalsadi-nouns
دمعة	ادمع	qalsadi-nouns
دمعة	دموع	qalsadi-nouns
دمل	دمامل	qalsadi-nouns
دمل	دماميل	qalsadi-nouns
دملة	واحدةالدمل	qalsadi-nouns
دملج	دمالج	qalsadi-nouns
دمنة	دمن	qalsadi-nouns
دميع	دمع	qalsadi-nouns
دميع	دمعاءدماءع	qalsadi-nouns
دميم	دمام	qalsadi-nouns
دميم	دماءم	qalsadi-nouns
دن	دنان	qalsadi-nouns
دنس	ادناس	qalsadi-nouns
دنف	ادناف	qalsadi-nouns
دنيء	ادنياء	qalsadi-nouns
دنيء	دنايا	qalsadi-nouns
دنيءة	ادنياء	qalsadi-nouns
دنيءة	دنايا	qalsadi-nouns
دنيا	دنامءنثادنا	qalsadi-nouns
دهر	دهور	qalsadi-nouns
دهقان	دهاقنة	qalsadi-nouns
دهقان	دهاقين	qalsadi-nouns
دهليز	دهاليز	qalsadi-nouns
دهم	دهوم	qalsadi-nouns
دهماء	دهم	qalsadi-nouns
دهن	ادهان	qalsadi-nouns
دهن	دهان	qalsadi-nouns
دهي	دهون	qalsadi-nouns
دهي	ادهية	qalsadi-nouns
دهي	دهواء	qalsadi-nouns
دواء	ادوية	qalsadi-nouns
دواءر	مفردداءرة	qalsadi-nouns
دواة	دوا	qalsadi-nouns
دواجن	مفردداجنة	qalsadi-nouns
دوار	دواوير	qalsadi-nouns
دوحة	دوح	qalsadi-nouns
دودة	دود	qalsadi-nouns
دودة	ديدان	qalsadi-nouns
دور	ادوار	qalsadi-nouns
دورق	دوارق	qalsadi-nouns
دولاب	دواليب	qalsadi-nouns
دولة	دول	qalsadi-nouns
ديباج	دبابيج	qalsadi-nouns
ديباج	ديابيج	qalsadi-nouns
ديجور	دياجير	qalsadi-nouns
دير	اديرة	qalsadi-nouns
ديك	ديوك	qalsadi-nouns
ديك	ديكة	qalsadi-nouns
ديك	ادياكذكر	qalsadi-nouns
ديماس	دياميس	qalsadi-nouns
ديماس	دماميس	qalsadi-nouns
ديمة	ديم	qalsadi-nouns
ديمة	ديوم	qalsadi-nouns
دين	ديون	qalsadi-nouns
دين	اديان	qalsadi-nouns
دينار	دنانير	qalsadi-nouns
دينة	دين	qalsadi-nouns
ديوان	دواوين	qalsadi-nouns
ذءابة	ذواءب	qalsadi-nouns
ذءب	ذءاب	qalsadi-nouns
ذءب	ذءبان	qalsadi-nouns
ذاءد	ذود	qalsadi-nouns
ذاءد	ذواد	qalsadi-nouns
ذابل	ذبل	qalsadi-nouns
ذاكرة	ات	qalsadi-nouns
ذبالة	ذبال	qalsadi-nouns
ذبح	لايجوزجمعمذكرسالم	qalsadi-nouns
ذبر	ذبار	qalsadi-nouns
ذبيح	ذبحالايجوزجمعمذكرسالممعن	qalsadi-nouns
ذبيحة	ذباءح	qalsadi-nouns
ذخر	اذخار	qalsadi-nouns
ذخيرة	ذخاءر	qalsadi-nouns
ذراح	ذراريح	qalsadi-nouns
ذراري	مفردذرية	qalsadi-nouns
ذراع	اذرع	qalsadi-nouns
ذراع	ذرعان	qalsadi-nouns
ذرب	اذراب	qalsadi-nouns
ذرة	واحدةذر	qalsadi-nouns
ذروة	ذرا	qalsadi-nouns
ذرور	اذرة	qalsadi-nouns
ذرية	ذراري	qalsadi-nouns
ذريعة	ذراءع	qalsadi-nouns
ذفاف	اذفة	qalsadi-nouns
ذفاف	ذفف	qalsadi-nouns
ذفرا	ذفارا	qalsadi-nouns
ذفرا	ذفريات	qalsadi-nouns
ذكر	ذكور	qalsadi-nouns
ذكر	ذكورة	qalsadi-nouns
ذكر	ذكران	qalsadi-nouns
ذكرا	ذكريات	qalsadi-nouns
ذكي	اذكياء	qalsadi-nouns
ذل	اذلال	qalsadi-nouns
ذلذل	ذلاذل	qalsadi-nouns
ذلول	اذلة	qalsadi-nouns
ذلول	ذلل	qalsadi-nouns
ذليل	اذلة	qalsadi-nouns
ذليل	اذلاء	qalsadi-nouns
ذم	ذموم	qalsadi-nouns
ذمام	اذمة	qalsadi-nouns
ذمة	ذمم	qalsadi-nouns
ذمر	اذمار	qalsadi-nouns
ذميم	جذمام	qalsadi-nouns
ذنابا	ذنابيات	qalsadi-nouns
ذنابة	ذناءب	qalsadi-nouns
ذنب	ذنوب	qalsadi-nouns
ذنب	اذناب	qalsadi-nouns
ذهب	اذهاب	qalsadi-nouns
ذهب	ذهوب	qalsadi-nouns
ذهن	اذهان	qalsadi-nouns
ذواة	ذوا	qalsadi-nouns
ذيل	ذيول	qalsadi-nouns
ذيل	اذيال	qalsadi-nouns
رءوف	رءفاء	qalsadi-nouns
رءيا	رءا	qalsadi-nouns
رءية	رءا	qalsadi-nouns
رءيس	رءساء	qalsadi-nouns
راءحة	رواءح	qalsadi-nouns
راءد	رواد	qalsadi-nouns
راءد	رواءد	qalsadi-nouns
راءز	رواءز	qalsadi-nouns
راءز	رازة	qalsadi-nouns
راءع	رواءع	qalsadi-nouns
رابض	ربوض	qalsadi-nouns
رابض	روابض	qalsadi-nouns
رابطة	روابط	qalsadi-nouns
رابلة	روابل	qalsadi-nouns
رابية	رواب	qalsadi-nouns
رابية	الروابي	qalsadi-nouns
راتب	رواتب	qalsadi-nouns
راجبة	رواجب	qalsadi-nouns
راجز	رجاز	qalsadi-nouns
راجف	رواجف	qalsadi-nouns
راجل	رجال	qalsadi-nouns
راجل	رجالة	qalsadi-nouns
راحة	راح	qalsadi-nouns
راحل	رحل	qalsadi-nouns
راحل	رحال	qalsadi-nouns
راحلة	رواحل	qalsadi-nouns
رادار	ات	qalsadi-nouns
رادع	ون	qalsadi-nouns
رادع	ات	qalsadi-nouns
رادع	روادع	qalsadi-nouns
رادفة	روادف	qalsadi-nouns
راديو	ات	qalsadi-nouns
راس	رءوس	qalsadi-nouns
راسب	رواسب	qalsadi-nouns
راسم	رسام	qalsadi-nouns
راسي	الرواسي	qalsadi-nouns
راشح	ات	qalsadi-nouns
راشح	رواشح	qalsadi-nouns
راشد	رواشد	qalsadi-nouns
راصد	رصاد	qalsadi-nouns
راصد	رصد	qalsadi-nouns
راضع	رضع	qalsadi-nouns
راضعة	رواضع	qalsadi-nouns
راعدة	رواعد	qalsadi-nouns
راعف	رواعف	qalsadi-nouns
راعي	رعاة	qalsadi-nouns
راعي	رواع	qalsadi-nouns
راعي	الرواعي	qalsadi-nouns
رافد	روافد	qalsadi-nouns
رافد	مثنارافدانرافدان	qalsadi-nouns
رافضة	روافض	qalsadi-nouns
رافعة	روافع	qalsadi-nouns
راقد	رقد	qalsadi-nouns
راقود	رواقيد	qalsadi-nouns
راقول	رواقيل	qalsadi-nouns
راقي	رقاة	qalsadi-nouns
راكب	ركاب	qalsadi-nouns
راكع	ركع	qalsadi-nouns
رامس	روامس	qalsadi-nouns
رامق	رمق	qalsadi-nouns
رامي	رماة	qalsadi-nouns
راهب	رهبان	qalsadi-nouns
راهب	رواهب	qalsadi-nouns
راووق	رواويق	qalsadi-nouns
راوي	ون	qalsadi-nouns
راوي	رواة	qalsadi-nouns
راوية	روايا	qalsadi-nouns
راي	ءراء	qalsadi-nouns
رب	ارباب	qalsadi-nouns
رب	ربوب	qalsadi-nouns
رباط	رباطات	qalsadi-nouns
رباط	ربط	qalsadi-nouns
ربان	ربابنة	qalsadi-nouns
ربان	ربابين	qalsadi-nouns
ربة	مءنثالرب	qalsadi-nouns
ربح	ارباح	qalsadi-nouns
ربرب	ربارب	qalsadi-nouns
ربض	ارباض	qalsadi-nouns
ربع	ارباع	qalsadi-nouns
ربع	رباع	qalsadi-nouns
ربع	ربوع	qalsadi-nouns
ربق	ارباق	qalsadi-nouns
ربق	رباق	qalsadi-nouns
ربل	ربول	qalsadi-nouns
ربو	ارباء	qalsadi-nouns
ربوة	ربا	qalsadi-nouns
ربوع	مفردربع	qalsadi-nouns
ربيءة	ربايا	qalsadi-nouns
ربيب	اربة	qalsadi-nouns
ربيبة	رباءب	qalsadi-nouns
ربيدة	رباءد	qalsadi-nouns
ربيع	اربعة	qalsadi-nouns
ربيع	رباع	qalsadi-nouns
ربيع	اربعاء	qalsadi-nouns
ربيعة	رباءع	qalsadi-nouns
ربيكة	رباءك	qalsadi-nouns
رت	رتوت	qalsadi-nouns
رت	رتتة	qalsadi-nouns
رتاج	رتج	qalsadi-nouns
رتاجة	رتاءج	qalsadi-nouns
رتبة	رتب	qalsadi-nouns
رتل	ارتال	qalsadi-nouns
رتيلاء	رتيلات	qalsadi-nouns
رث	رثاث	qalsadi-nouns
رجا	ارجاء	qalsadi-nouns
رجاء	مثناهرجوان	qalsadi-nouns
رجب	ارجاب	qalsadi-nouns
رجب	رجوب	qalsadi-nouns
رجس	ارجاس	qalsadi-nouns
رجل	رجال	qalsadi-nouns
رجل	رجالات	qalsadi-nouns
رجل	ارجل	qalsadi-nouns
رجم	رجام	qalsadi-nouns
رجم	ارجام	qalsadi-nouns
رجم	رجوم	qalsadi-nouns
رجيع	رجع	qalsadi-nouns
رجيعة	رجاءع	qalsadi-nouns
رجيل	ارجلة	qalsadi-nouns
رحا	ارحاءمثناهارحوان	qalsadi-nouns
رحبة	رحاب	qalsadi-nouns
رحل	مفردراحل	qalsadi-nouns
رحل	رحال	qalsadi-nouns
رحل	ارحل	qalsadi-nouns
رحلة	رحل	qalsadi-nouns
رحلة	رحلات	qalsadi-nouns
رحم	ارحاميءنثويذكر	qalsadi-nouns
رحيب	رحب	qalsadi-nouns
رحيم	رحماء	qalsadi-nouns
رخ	رخاخ	qalsadi-nouns
رخصة	رخص	qalsadi-nouns
رخفة	رخاف	qalsadi-nouns
رخيص	رخاءص	qalsadi-nouns
رد	ردود	qalsadi-nouns
رداء	اردية	qalsadi-nouns
ردف	ارداف	qalsadi-nouns
ردهة	رده	qalsadi-nouns
ردهة	رداه	qalsadi-nouns
رديء	اردياء	qalsadi-nouns
رديءة	اردياء	qalsadi-nouns
رديف	رداف	qalsadi-nouns
رديف	ردفاء	qalsadi-nouns
رذل	ارذال	qalsadi-nouns
رذل	رذال	qalsadi-nouns
رذيل	رذلاء	qalsadi-nouns
رذيل	رذال	qalsadi-nouns
رذيلة	رذاءل	qalsadi-nouns
رزء	ارزاء	qalsadi-nouns
رزق	ارزاق	qalsadi-nouns
رزمة	رزم	qalsadi-nouns
رزيءة	رزايا	qalsadi-nouns
رزية	رزايا	qalsadi-nouns
رزين	جرزان	qalsadi-nouns
